Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,3439,0,1,12.053679621035693,0.5518340039998293,1244.5204499963438,30.0,58.216678850122825,0.0,1,1,2,2,3,7,16,120,1200,1200,1200
GET,GET /index.html,1125,0,1,13.432133747471703,0.5650850071106106,1037.9169230000116,30.0,19.044420967254485,0.0,1,1,2,2,3,8,32,1000,1000,1000,1000
,Aggregated,4564,0,1,12.393460710483657,0.5518340039998293,1244.5204499963438,30.0,77.26109981737731,0.0,1,1,2,2,3,7,18,130,1200,1200,1200
