Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,18699,0,1,34.5382969462627,0.47833399730734527,7845.8814099867595,30.0,316.2499917227076,0.0,1,1,2,2,4,9,1000,1000,3200,7800,7800
GET,GET /index.html,6158,0,1,39.63754703736534,0.4817930021090433,7845.619658997748,30.0,104.14821375626683,0.0,1,1,2,2,4,9,1000,1000,3400,7800,7800
,Aggregated,24857,0,1,35.8015701514367,0.47833399730734527,7845.8814099867595,30.0,420.39820547897443,0.0,1,1,2,2,4,9,1000,1000,3200,7800,7800
