Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,6567,0,1,19.79924937069474,0.4933760064886883,1541.2077860091813,30.0,110.93318878184918,0.0,1,1,2,2,3,8,120,1000,1300,1500,1500
GET,GET /index.html,2157,0,1,21.280376915868516,0.515418010763824,1523.7749240041012,30.0,36.4371689055046,0.0,1,1,2,2,3,9,140,1000,1300,1500,1500
,Aggregated,8724,0,1,20.16545662825318,0.4933760064886883,1541.2077860091813,30.0,147.3703576873538,0.0,1,1,2,2,3,8,130,1000,1300,1500,1500
