Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,15965,0,1,24.4533229813676,0.48712299030739814,7251.216962002218,30.0,270.04982164859877,0.0,1,2,2,2,4,9,110,1000,1900,7300,7300
GET,GET /index.html,5177,0,1,27.017810982374968,0.5015799979446456,7248.596769000869,30.0,87.56955381614756,0.0,1,2,2,2,4,8,140,1000,1900,7200,7200
,Aggregated,21142,0,1,25.081284119444184,0.48712299030739814,7251.216962002218,30.0,357.6193754647463,0.0,1,2,2,2,4,8,110,1000,1900,7300,7300
