Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,11817,0,1,25.66492553992636,0.5023339908802882,4442.169703994296,30.0,200.01748421781028,0.0,1,1,2,2,4,8,180,1000,2800,4400,4400
GET,GET /index.html,3947,0,1,21.996826144390987,0.49762600974645466,3028.5408750060014,30.0,66.80790473112441,0.0,1,1,2,2,3,7,97,1000,1900,3000,3000
,Aggregated,15764,0,1,24.746504560848834,0.49762600974645466,4442.169703994296,30.0,266.8253889489347,0.0,1,1,2,2,3,8,150,1000,2800,4400,4400
