Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,15926,0,1,35.32016340505331,0.47783300396986306,3443.2401490048505,30.0,269.13202632928346,0.0,1,2,2,2,5,14,1000,1100,3000,3200,3400
GET,GET /index.html,5262,0,1,29.653716164576526,0.4912089934805408,3236.5559419995407,30.0,88.92205968508664,0.0,1,2,2,2,5,11,1000,1000,3000,3200,3200
,Aggregated,21188,0,1,33.91291187685863,0.47783300396986306,3443.2401490048505,30.0,358.0540860143701,0.0,1,2,2,2,5,13,1000,1000,3000,3200,3400
