Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,6553,0,2,13.44370357437622,0.5699949979316443,1451.8807680142345,30.0,110.8157974522402,0.0,2,3,3,4,5,8,18,99,1300,1500,1500
GET,GET /index.html,2134,0,2,13.860403924595413,0.5967460019746795,1254.9429100035923,30.0,36.0874274016604,0.0,2,3,3,4,5,7,16,1000,1200,1300,1300
,Aggregated,8687,0,2,13.546067859787497,0.5699949979316443,1451.8807680142345,30.0,146.90322485390058,0.0,2,3,3,4,5,8,17,100,1200,1500,1500
