Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,3456,0,1,11.375934991860959,0.522870002896525,3238.967707991833,30.0,58.49121776163376,0.0,1,1,2,2,3,7,15,39,1200,3200,3200
GET,GET /index.html,1086,0,1,24.24396620731043,0.5498810060089454,3239.2078769917134,30.0,18.380052803568944,0.0,1,1,2,2,3,6,45,1000,3000,3200,3200
,Aggregated,4542,0,1,14.452703353811227,0.522870002896525,3239.2078769917134,30.0,76.8712705652027,0.0,1,1,2,2,3,7,16,170,1300,3200,3200
