Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,18937,0,1,25.79099672989384,0.4660210000793086,3444.7869470000114,30.0,320.5494070471175,0.0,1,1,2,2,4,8,1000,1000,1400,3400,3400
GET,GET /index.html,6281,0,1,25.940781372551392,0.46443899998394045,3855.081680000012,30.0,106.31941836948539,0.0,1,1,2,2,4,8,1000,1000,1200,3900,3900
,Aggregated,25218,0,1,25.82830331013519,0.46443899998394045,3855.081680000012,30.0,426.8688254166029,0.0,1,1,2,2,4,8,1000,1000,1400,3400,3900
