Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,18735,0,1,30.40412361606233,0.4805409989785403,3454.0279320062837,30.0,316.9814708827518,0.0,1,1,2,2,4,9,1000,1000,1900,3500,3500
GET,GET /index.html,6374,0,1,29.841938422223944,0.49708300502970815,3242.272553994553,30.0,107.84306887678996,0.0,1,1,2,2,4,9,1000,1000,1800,3200,3200
,Aggregated,25109,0,1,30.261411105586966,0.4805409989785403,3454.0279320062837,30.0,424.8245397595417,0.0,1,1,2,2,4,9,1000,1000,1900,3200,3500
