Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,11786,0,1,19.736184283023434,0.48487501044292003,4395.12160999584,30.0,199.45933876143312,0.0,1,1,1,2,3,7,54,1000,1500,2700,4400
GET,GET /index.html,3991,0,1,23.45846762501232,0.49225099792238325,4394.968776003225,30.0,67.54133896121496,0.0,1,1,1,2,3,7,57,1000,2700,4400,4400
,Aggregated,15777,0,1,20.67778489263728,0.48487501044292003,4395.12160999584,30.0,267.00067772264805,0.0,1,1,1,2,3,7,54,1000,1500,4400,4400
