Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,18577,0,1,47.29363738470736,0.4877920000581071,4553.955270996084,30.0,314.1860253668803,0.0,1,2,2,3,7,67,1000,1200,3000,4400,4600
GET,GET /index.html,6228,0,1,48.361792739612945,0.49108399252872914,3107.4766960082343,30.0,105.33189244683913,0.0,1,2,2,3,8,75,1000,1200,2700,3100,3100
,Aggregated,24805,0,1,47.561828134570305,0.4877920000581071,4553.955270996084,30.0,419.51791781371946,0.0,1,2,2,3,8,67,1000,1200,3000,4400,4600
