Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,3426,0,1,12.689383803028756,0.5304569931467995,1431.6277450125199,30.0,58.01308476016684,0.0,1,1,2,2,2,7,12,68,1400,1400,1400
GET,GET /index.html,1163,0,1,8.985007219413445,0.5537069955607876,1039.107677002903,30.0,19.693291761842975,0.0,1,1,2,2,2,6,12,52,1000,1000,1000
,Aggregated,4589,0,1,11.750575791099228,0.5304569931467995,1431.6277450125199,30.0,77.70637652200982,0.0,1,1,2,2,2,7,12,67,1300,1400,1400
