Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,16107,0,1,19.828330683553954,0.4649080000262984,1252.2795490000362,30.0,272.61468038166265,0.0,1,2,2,2,4,8,22,1000,1200,1200,1300
GET,GET /index.html,5312,0,1,15.617301610127479,0.44986600005358923,1246.2135199999693,30.0,89.9068220144901,0.0,1,1,2,2,3,7,14,1000,1200,1200,1200
,Aggregated,21419,0,1,18.783978172323753,0.44986600005358923,1252.2795490000362,30.0,362.52150239615275,0.0,1,2,2,2,4,7,19,1000,1200,1200,1300
