Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,3405,0,1,13.001074600116372,0.5120850109960884,1235.9661070076982,30.0,57.63741070837618,0.0,1,1,2,2,2,7,22,1000,1100,1200,1200
GET,GET /index.html,1136,0,1,8.833250809146476,0.5431260069599375,1226.8698800035054,30.0,19.229397522677047,0.0,1,1,2,2,3,7,25,68,1100,1200,1200
,Aggregated,4541,0,1,11.958430286850174,0.5120850109960884,1235.9661070076982,30.0,76.86680823105323,0.0,1,1,2,2,2,7,22,140,1100,1200,1200
