Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,3353,0,1,14.382616888094333,0.5307919927872717,1246.008525005891,30.0,56.68737113031185,0.0,1,1,2,2,2,7,21,1000,1200,1200,1200
GET,GET /index.html,1217,0,1,14.519836046146963,0.5632499960483983,1244.118233997142,30.0,20.575165721917543,0.0,1,1,2,2,3,8,45,1000,1200,1200,1200
,Aggregated,4570,0,1,14.419158620118415,0.5307919927872717,1246.008525005891,30.0,77.2625368522294,0.0,1,1,2,2,2,7,23,1000,1200,1200,1200
