Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,11197,0,1,16.718085618146976,0.493168001412414,1443.5075859946664,30.0,199.65259763601412,0.0,1,1,2,2,4,7,23,1000,1200,1300,1400
GET,GET /index.html,3725,0,1,20.499106510561866,0.5106269964016974,1443.1075430038618,30.0,66.4201059385686,0.0,1,1,2,2,4,9,42,1000,1200,1400,1400
,Aggregated,14922,0,1,17.66194722009346,0.493168001412414,1443.5075859946664,30.0,266.0727035745827,0.0,1,1,2,2,4,8,25,1000,1200,1400,1400
