Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /index,11826,0,1,19.27621497084818,0.4868319956585765,3115.1203460030956,30.0,200.03075723420807,0.0,1,1,2,2,3,9,62,1000,1300,3100,3100
GET,GET /index.html,3993,0,1,24.91678991584815,0.4950820002704859,1279.3116259999806,30.0,67.53955806157558,0.0,1,1,2,2,3,9,1000,1000,1200,1300,1300
,Aggregated,15819,0,1,20.69999749536837,0.4868319956585765,3115.1203460030956,30.0,267.57031529578364,0.0,1,1,2,2,3,9,73,1000,1300,3100,3100
